x_0,x_1,x_2,x_3,y
1378741,159183,-12650,507032,-389009
909036,-35548,-15244,661519,-346841
1584075,28960,-1136,575677,-342289
1573076,185565,-12408,486074,-333589
1509920,43890,-539,621856,-332429
882600,-27977,-15821,606867,-315241
897351,38652,-13281,425856,-309876
1081384,-55500,-11528,572087,-309717
1078199,134583,-7953,638508,-307361
1155326,-20495,-5521,658480,-306399
948049,-151986,-13224,626083,-303372
1643821,-116063,-7583,581509,-298803
1581397,-18984,-1289,600518,-296428
1002513,39562,-7717,620918,-294020
802278,-192867,-7525,534734,-293794
1227204,373620,-12571,628013,-292104
917322,27278,-15184,652414,-291490
966431,-49621,-3605,487988,-290440
854916,251152,-768,656085,-289573
965314,129296,-5869,427430,-289261
955172,16332,-16567,527261,-289190
1032167,-96989,-2990,638775,-287161
1459599,-236968,-7727,548603,-282017
1109508,295088,318,585594,-281094
1148992,-88793,-12936,558066,-277363
748041,-36862,-823,603954,-275859
893315,212397,-7164,669398,-274247
1200298,40222,-722,502832,-273982
1041613,182739,-4088,460755,-272850
1224398,280888,-5080,579024,-271500
1108974,-137660,-9857,632349,-271021
1192829,238911,-14972,606053,-270208
1081919,132980,-2379,576679,-269429
903286,-37738,-3626,631607,-266460
831403,162826,-9662,627844,-263771
815088,141528,-13568,408629,-262330
837082,91295,-733,562529,-262138
1615667,-109609,-867,497714,-258045
889234,-20486,-5248,405278,-257544
1006940,342306,-1820,645633,-257375
1058322,147049,-11607,506661,-257108
808928,-113254,-7923,635541,-256711
758728,252157,-16083,403259,-255961
834449,156219,-3252,485828,-255749
1147115,106807,-3385,659577,-254878
830041,72719,-1708,533054,-254797
846446,342382,-789,588803,-254666
1050944,-157732,-1358,565613,-254432
959854,-247854,-5105,646788,-251744
763122,24181,-2797,566779,-250983
1339081,121771,-5588,617410,-250982
1165128,314600,-16596,614242,-249240
1373666,93820,-15732,610689,-248732
940651,143721,-4962,162101,-248205
1297732,32643,-8548,635316,-247686
1239318,-15749,-8968,613060,-247612
823329,54110,-15064,615567,-246063
885095,-135252,-9156,447360,-245980
1118991,-51969,-6229,602203,-245964
1100259,-126292,-18174,645009,-245847
1410615,208360,-6454,649209,-243777
821727,-17843,-7680,583548,-243324
1018090,206038,-13072,300443,-243162
1112301,-115082,-8722,655044,-241610
1171703,-111993,-16596,647708,-241544
1447850,217601,-17130,657191,-240479
1287384,71214,-2058,641163,-240218
1343757,146956,405,447508,-240162
1297659,-28760,-16976,603932,-238425
1111739,211344,-1615,622201,-238322
796920,-78546,-2967,669923,-237398
867887,214476,-1157,620423,-237387
1125335,156013,-9749,375676,-235123
1635703,164920,-4732,559314,-235103
883250,194493,-2727,646547,-234890
1351054,348169,-16838,471816,-233011
1214151,-84896,-13434,607414,-232988
883061,-15955,-14479,626844,-232805
909891,40093,50,664692,-232672
1177411,51524,-16700,652656,-232652
1162527,95452,-10965,579596,-232339
1305324,100908,-9276,228653,-231741
952907,38925,-3690,649480,-231186
868447,113224,-16139,590802,-230895
944070,12942,-12914,666431,-230809
928687,87667,-15692,587325,-230340
1264015,20843,-4014,544371,-230331
1200531,-63100,-6722,558085,-230147
970619,51954,-463,441198,-229341
904841,-4981,-4624,608840,-229270
1191727,77282,-9305,606592,-228387
1232156,59473,-12494,565816,-228267
1434963,-34937,-7747,601853,-227975
870815,216104,-15379,318161,-226378
1265607,-81873,-4724,505645,-226232
957456,143696,-14474,654988,-225188
1415206,338176,-10977,665550,-225065
1058061,-40075,-12887,549480,-224984
1087342,82277,-14566,628107,-224833
1072635,-97337,-10790,508542,-224743
1625761,123602,-8267,655060,-224671
780142,59696,-14130,552105,-224593
853621,-23096,-15203,410007,-224383
767210,6510,-7111,241304,-223707
877586,135159,-1826,405467,-223076
754316,-147800,-17989,633393,-222681
843474,-118642,-2016,518161,-222220
1355170,164293,-6278,574009,-222078
1360169,-48073,-15287,650982,-221936
1315663,-3891,-17134,663345,-221820
1250661,87436,-2314,613981,-221566
801601,-116,-6501,248869,-221028
794621,-36839,-991,604572,-220884
1371833,-110456,-5208,624584,-220450
1449460,-42827,-7555,541630,-219698
912399,54523,-12192,664791,-219687
1134656,47448,-6241,501238,-219677
908091,46530,-13817,579196,-219118
947438,47497,-15514,541447,-218862
861361,17944,-6823,618883,-218629
971898,78580,-11980,395201,-218512
1187267,138425,-4084,657931,-217832
868420,-184861,-12972,402549,-217806
1238663,-38732,-6046,645450,-217549
1429363,-125475,-8500,505949,-217505
795502,231115,-3709,669323,-216834
921025,155661,-6762,551101,-216797
810281,173747,-12834,530211,-216402
1467530,98523,-11603,632202,-216160
1727918,143564,-15168,638277,-216104
1179042,-1424,-5909,647194,-215896
807647,16934,-11217,643388,-215841
923366,14249,-17008,653335,-214940
927365,-12351,-6288,588093,-214919
750548,71031,-12643,582743,-214764
1501229,80543,-6073,475676,-214436
1191036,-152625,-17931,525970,-214350
878496,-97260,-16149,618626,-214093
878044,201176,-7298,584013,-213808
1005311,77165,-3339,667834,-213548
886148,-3862,-12993,207756,-213353
1237074,150887,-12123,428248,-213333
1389175,47712,-12327,585827,-213243
1526752,136017,-2424,653646,-212399
812121,156134,-16847,645223,-212171
1015789,-4562,-17071,604141,-211719
762228,-165316,-12426,488141,-211541
1495875,-46233,-15086,455260,-211205
1210158,-56039,-16073,511251,-210877
801626,-53009,-9119,670242,-210802
1523231,244191,-479,645711,-210490
1209823,-4414,-12280,502996,-210478
1012252,102755,-18077,122104,-209921
1475680,136885,-14897,581160,-209828
815299,-33079,-1586,561426,-209821
852421,67721,-5886,660146,-209809
912147,55405,-9137,409321,-209799
806666,60621,-532,627858,-209764
1101142,11085,-7887,658914,-209596
1211554,-48880,-8961,556302,-209400
811199,68782,-17547,217197,-209365
889298,211740,-16028,498616,-209157
1324101,178854,-13912,650530,-209085
1721227,-178885,-13332,383383,-208604
959400,107738,-7995,602964,-208525
1275125,-84807,-2751,659151,-208130
1452122,-41264,-13247,523922,-207873
1678249,202454,-12858,446911,-207873
1564629,-60474,-17125,584901,-207722
1597055,-26422,-12247,550548,-207560
1061930,-237595,-15806,370631,-207507
1038180,-210205,-14545,622917,-207193
965343,-77844,-14425,662801,-207094
1053850,162078,-5029,583261,-206998
1316748,321922,-3302,661868,-206630
1067132,74503,-14039,623360,-206558
795479,101754,-10227,669603,-206350
1339782,27577,-2167,489483,-205207
1231341,90886,-15138,603287,-205027
979693,173154,-201,650032,-204606
1648489,45125,-2525,443147,-204580
900789,-80982,-9201,428829,-204083
960090,370059,-10942,651076,-204050
916458,66208,-12672,602984,-203678
769221,179526,-8323,209262,-203422
900886,53664,-9437,498989,-203331
945435,37877,-17893,538179,-202940
1674650,3868,-11490,618069,-202930
804783,91724,-15070,261861,-202805
1010945,211234,-64,472923,-202469
1057339,249884,-3531,609869,-202384
1406784,-179141,-8661,657931,-202364
1718315,-8436,-11812,571806,-202348
1682794,103513,-17628,616245,-202332
891233,-41343,-14472,361858,-202295
1010664,223918,-11992,135027,-202126
1380037,61276,-15839,671316,-201382
1035883,220996,-9234,620563,-201095
1574671,105226,-9462,534422,-200717
1597249,302811,-10867,664537,-200598
872150,208621,-50,585753,-200428
1296832,104240,-5550,647154,-200295
865566,105358,-17430,647776,-200030
1087044,313423,-12584,642322,-199933
1008141,20020,-8277,647127,-199653
988965,99527,-15844,555135,-199627
1552747,-191167,-15848,628609,-199076
1418630,-129948,-9520,574929,-199047
1183532,260530,-4963,364710,-198992
1111265,53398,-4692,644156,-198602
1078989,263836,-62,595717,-198399
1357916,116810,-6458,607588,-198150
1129287,19145,-4223,645063,-198008
1306546,220219,-7647,630749,-197658
1038718,-283856,-9665,532511,-197616
1441581,24360,94,431507,-197231
1222427,214348,-13244,391757,-197223
1027463,126396,-489,629151,-197200
1723812,155190,89,636780,-196865
975404,-230680,-16165,402884,-196612
1723477,144476,-16159,575189,-196268
879729,112722,-3413,633524,-195898
924188,200339,-5850,338134,-195723
1126505,190335,-5232,590647,-195615
1544808,20782,-15687,623915,-195412
1372196,-81066,-12552,521757,-195333
1026125,192910,-17708,612688,-194995
1143050,-24759,-4436,622687,-194934
1423796,233048,-3917,662622,-194679
1230434,-189103,-15531,322565,-194630
1230759,-82732,-8945,670998,-194343
1037901,230388,-13121,663305,-194045
1174849,103713,-658,419174,-193779
765201,57278,-3370,654757,-193716
954351,166312,-8326,526489,-193588
1325724,49478,-15729,633757,-193243
1147449,-79649,-7687,523673,-193016
912032,118256,-9298,577075,-192457
1580916,188555,-4845,668811,-192413
1067816,133162,-2546,357123,-192232
759242,-43381,-2779,592834,-191860
1039918,146597,-4889,328740,-191598
1193857,-81108,-10499,665348,-191588
770422,-64185,-13332,536626,-191565
1282469,-67204,-4561,669807,-191444
842632,172438,-7127,560194,-190997
905868,104205,-10560,471921,-190406
945895,7644,-6240,590105,-190261
1439173,-61478,-5350,185616,-190231
980339,204978,-1217,576061,-190085
1043064,161849,-10269,485262,-189842
1157770,-66759,-12940,457816,-189582
1147399,93550,-11369,598068,-189376
835468,-850,-12007,348615,-189327
938988,142569,-3085,577595,-189305
1098105,-17850,-16453,601198,-188802
918535,75907,-16076,495340,-188362
874108,70679,-17289,449264,-187830
1630982,144854,-15640,599942,-187784
1520165,193278,-12240,618649,-187697
1189135,300067,-8316,316813,-187660
1411146,-92897,-11301,641921,-187493
1438494,-107469,-985,339575,-187139
1173369,207394,-3401,632182,-187060
1377005,-76702,-4207,459299,-186646
874280,-41820,-12900,646583,-186618
980737,-421,-1910,587487,-186550
1398247,195759,-2238,635462,-186496
785924,210448,-5988,488656,-186310
1355349,201370,-7745,447493,-185607
918280,107057,-14754,525903,-185535
1455826,128597,-2355,603591,-185434
1450620,66301,-11651,630541,-184974
766273,88160,-6823,542683,-184467
1154979,12854,-2178,618549,-184456
1069772,28069,-9481,503116,-184441
809474,69636,-11390,590086,-184313
1188313,-75654,-3355,479492,-184071
1178292,47248,-13097,362981,-183921
970973,235317,-14758,599740,-183625
1380377,112320,-1508,476591,-183558
1003330,56684,-10105,452856,-183440
1552423,41769,-6046,491474,-183230
1124847,117878,-5214,623499,-183182
1377718,29538,-6818,518592,-183037
887946,-132858,-9072,610320,-183001
1200581,83189,-5820,662632,-182458
1009781,158292,-2805,668961,-182218
1680267,23203,-12739,618731,-182020
1147375,291524,-7924,548707,-181976
836082,-155006,-11931,524312,-181949
1642678,294658,-12338,637266,-181816
1666224,33309,-4997,669400,-181788
1210813,134662,-12203,529893,-181693
1463218,136280,-8298,611696,-181420
1093517,128661,-11236,592706,-181362
1025866,-15128,-10252,493223,-181295
983528,-198400,-14913,582994,-181076
1197075,88928,-1118,571206,-180854
968815,53523,-5688,616527,-180772
1122716,67186,-16551,652740,-180382
913528,52277,-2591,627168,-180224
774219,154815,-15660,645421,-180066
1575918,-170722,-14955,590311,-179887
1428847,107499,-367,643176,-179670
1031940,-273361,516,561411,-179507
816457,67489,-15415,607179,-179330
922162,-108907,-15988,383551,-179231
1025980,255134,-17389,655504,-179210
1433872,152606,-15841,645576,-178974
912785,-142823,-530,597417,-178861
1264485,72579,-416,653832,-178783
828691,37225,-1472,618015,-178644
1071689,37841,-4792,161743,-178232
1626371,2975,-14169,372176,-178185
1321860,-54699,-10776,480204,-177511
1076828,-38702,-18071,506230,-177495
1195722,-34254,-15713,479531,-176729
1398630,-24864,-8721,535640,-176702
1226103,38879,-993,588116,-176415
1152243,149405,-5878,485325,-176363
816280,64071,-8279,433835,-176333
1346069,18715,-8994,445370,-176199
1280395,-14260,-12436,511752,-175972
871541,79738,-5674,539094,-175703
1293626,-52790,-6180,474580,-175560
1287613,80568,-13586,492518,-175546
864489,198127,-4657,644145,-175396
1087827,-51718,-17198,644402,-175203
1085615,267103,-9815,243791,-175034
1547604,132984,-14224,610699,-174867
993459,257398,-5889,583780,-174755
1412944,313551,-12871,533900,-174704
1022005,-159748,-8873,505822,-174671
874972,-21297,-5347,494163,-174563
1137559,82815,-5672,437976,-174554
1111498,-36389,-12037,438367,-174374
1046829,12205,-6025,106538,-173933
1034845,224489,-13726,592110,-173718
1086029,125403,-484,657762,-173505
960362,220859,-6797,289453,-173447
1608072,142966,-7129,550641,-173176
1214100,38493,-14963,403165,-172808
918218,229678,-8585,405793,-172660
1088349,-80810,-3665,325457,-172629
1024569,-218855,-4813,548661,-172584
936431,44752,317,613740,-172304
1350032,84761,-3440,492804,-171967
1363574,88551,-16241,640845,-171857
806502,389791,-17075,642617,-170907
1535793,34227,-9524,605543,-170808
1261765,-123759,-10805,590798,-170683
1002726,-17715,-366,620282,-170530
1182970,61762,-16124,653741,-170363
1244728,-58617,280,476619,-170228
843817,134169,-7033,578180,-170092
867660,34962,-8517,543666,-170035
1119722,32780,-5001,648282,-170022
1114400,152965,-17443,348238,-169892
858225,-255640,-6218,298133,-169780
1086874,96196,-14292,639321,-169780
1167890,80372,-1563,112289,-169653
777899,292754,-14203,274057,-169474
1286477,55041,-8084,436650,-169275
751217,-3321,-7106,558196,-169040
846473,-9289,-15663,548275,-168789
1050044,-15356,-8075,532185,-168718
1304255,82726,-10598,575248,-168714
786504,15392,-8544,296299,-168502
1548723,105972,-16930,663493,-167920
1208478,-34396,-15929,616095,-167851
1366517,-14178,-4852,324184,-167473
938754,-116479,-6587,560394,-167430
1605751,136140,-18086,647818,-167238
928005,283384,-829,607671,-167171
1011909,32056,-7217,398039,-166695
810719,43231,-6399,502093,-166368
1003081,230187,-12997,637113,-166181
1145642,-52907,-7275,584778,-166181
794815,-26504,-16794,419077,-166043
879168,81976,-12063,418917,-166001
756486,196800,-17522,478637,-165856
834317,-106736,-4351,494794,-165799
1312329,-147561,-11483,588919,-165569
1223038,96758,-13829,343882,-165549
996508,34984,-8732,407388,-165054
955365,260611,-11843,558132,-164575
907335,-88076,-8505,507223,-164452
983064,92571,413,540404,-164287
921220,-40936,-16347,214795,-164057
1336793,36639,-1869,534320,-163989
1654574,1643,-5335,481100,-163761
1624470,73920,-12308,503697,-163626
1040995,9182,-14228,548696,-163350
854031,-74781,-3158,599027,-163326
749802,-229521,-16362,423636,-163134
896065,153186,-13764,589052,-163030
1166651,249952,-2781,655734,-162978
1134489,-45567,-11986,630974,-162674
1184353,-339998,-14338,577972,-162631
1042313,54443,-6829,575597,-162533
1197899,8179,-14116,450789,-162446
1065511,172244,-17770,594527,-162269
1740100,-27642,-15493,177310,-162245
984051,-83559,-16112,273086,-162053
964949,44118,-17313,669092,-161958
1154044,-84607,-6315,446250,-161847
876397,76476,-1090,496931,-161828
1723859,99079,-10881,595886,-161466
1010924,174016,-17597,432340,-161340
777398,211914,-11463,521140,-161031
1704120,27419,-12966,471058,-160865
874160,27549,-2783,671538,-160598
1080385,84977,-10653,658684,-160108
989960,-38828,-5885,656579,-159959
1402973,190929,-15404,352669,-159878
964949,-85764,-2758,421801,-159764
1038047,-26754,-6707,451598,-159694
1171824,81932,-8524,653923,-159135
1436817,31401,-7122,529775,-158875
770321,-21879,-842,585362,-158872
1618609,208772,-3882,441858,-158752
1134879,11075,-12214,630920,-158732
885595,95103,-13986,455438,-158703
790822,129516,-13459,626031,-158490
1038543,202503,-16544,583086,-158419
1534016,148655,-12785,623074,-158380
908554,11455,-6016,523486,-158255
793684,43103,-16864,259722,-158094
1362959,165091,-11470,446993,-157982
1257733,-8004,-8105,466679,-157954
1339340,290666,-16564,653014,-157722
1197977,155573,-16354,366688,-157522
1462049,90108,-3442,498436,-157506
768347,38111,-10943,285167,-157076
1608467,-103363,-12514,659300,-156901
804610,198155,-7550,553322,-156739
968471,151618,-5291,420597,-156721
929726,129999,-5706,339898,-156699
791737,130412,-15979,237286,-156630
1169027,-162246,-17214,635099,-156545
1593385,-66089,-6240,522209,-156514
1421943,192927,-10273,612933,-156400
952117,-146014,-661,336991,-156370
1163547,71758,-10397,517272,-156290
1578635,49813,-7273,125985,-156266
1300288,-41459,-3688,495949,-156247
1146883,148202,-6628,462603,-156108
1515031,161004,-13825,494980,-156042
925835,26881,-4927,599803,-155739
838340,108197,-12823,626767,-155645
765593,70090,-3058,312702,-155314
989585,-62779,-11273,321991,-155044
1034108,-132915,-8433,392871,-154886
1152812,-153982,-17931,565951,-154739
1253079,-52533,-17921,600490,-154560
1156950,-71991,-9128,450922,-154350
1685631,-99116,9,661470,-154328
1088372,124309,-7640,490821,-154300
916405,-80501,-14332,554697,-153905
1423438,209901,-409,447294,-153778
952305,89684,-12816,591128,-153768
1545330,26121,-1926,634661,-153732
982090,43350,-1545,634074,-153646
957046,171682,-9364,544970,-153526
1026003,94806,-14496,666829,-153476
818387,116753,-1585,563297,-153448
930822,92335,-541,547384,-153426
1320704,26292,-14782,554224,-153390
960233,-131812,-9787,656116,-153326
1233440,5033,-9599,273357,-153228
1071533,117874,-8064,618372,-153028
985440,92489,-10582,468728,-152996
1285917,-30411,-4809,543103,-152371
752168,73646,-5562,420595,-152227
767516,-19960,-2529,475112,-152049
1462933,41469,-13417,519386,-152047
1324460,88180,-6512,561836,-151802
820304,222010,-9546,590526,-151602
1095824,-160231,-8567,521092,-151455
915825,46547,-17678,468635,-151398
1008360,45500,-2047,641163,-151388
1088154,85424,-9935,450222,-151142
1233587,29207,-6526,357259,-150862
976197,-8865,304,599741,-150802
1100101,287772,-9102,388150,-150802
901366,10823,-12250,640059,-150630
1254139,55616,-15223,361849,-150583
981658,177534,-10601,467648,-150499
1050652,12588,-10824,502010,-150436
748688,-12878,-12688,599145,-150425
1386578,207038,-4876,662879,-150182
854072,209727,-2692,452907,-150054
1430999,-4811,-14081,556264,-149946
1059709,-120442,-433,633553,-149838
1448589,63484,-11372,658469,-149696
1249622,141377,-401,585600,-149513
1247590,125595,-16273,636201,-149465
1407547,-31915,-4374,470175,-149283
1217204,-78869,-13187,554143,-149259
761031,59175,-7125,44804,-149221
1731098,-47696,-13944,427347,-149171
1267382,-64808,-7105,525441,-148864
893484,-51207,-707,585840,-148698
1626542,-145416,-17356,585307,-148556
1448805,135092,-6191,628183,-147999
1146705,133796,-9725,524192,-147987
1093976,9440,-16036,165485,-147920
1268691,-15499,-6979,593621,-147907
930173,-18897,-5761,171248,-147874
777944,23951,-6098,281749,-147782
1464793,-118906,-13952,280222,-147678
899712,51632,-17477,548223,-147674
967301,-90120,-14106,370985,-147624
748590,54159,-10364,398098,-147477
806426,-337749,-8623,515475,-147457
1051053,8115,-12234,502294,-147189
1055142,89817,-59,523950,-147174
1404543,124153,-990,604719,-147105
1125528,-44739,-13290,556147,-146708
1714535,81222,-7032,416141,-146649
976857,-59873,-3882,350877,-146547
1104575,-163765,-2641,504043,-146410
1381492,320842,-1423,562629,-146251
1088232,152083,-3463,622761,-146248
977020,9494,-3664,557306,-146064
1092939,-75293,-4163,402784,-145938
1212736,310213,-8603,618637,-145479
1622166,46230,-8518,263137,-145470
1023540,162735,-8349,650944,-145469
938208,88363,-13467,635813,-145466
1311640,22586,-2790,605424,-145149
752228,9798,-2067,315045,-145108
1323766,217086,-9645,572025,-145064
1700989,4652,-15497,637741,-144717
847174,158689,-11917,641133,-144439
881420,91797,-14326,635950,-144407
1101047,136048,-7549,300126,-144403
798101,115116,-15321,427199,-144221
1017418,-47673,-9009,579667,-144084
1294379,40662,-17856,487874,-144007
970860,-42281,-11520,626747,-143672
1631646,167302,-13807,620935,-143629
1489362,-172417,-5417,599039,-143438
825061,-37126,-12636,187503,-143423
1657094,77817,-7892,242051,-143404
1458587,15638,-11991,417022,-143377
938194,2056,-4930,410943,-143318
1358199,-86989,277,473905,-143226
1165975,-98312,-4214,523448,-142910
1025533,-30026,-8882,574320,-142901
1296786,57080,-2041,487490,-142699
912075,105335,-13778,472270,-142698
1386438,49429,-2249,439855,-142692
1696808,-226988,-11004,601425,-142629
955650,53116,-14416,564709,-142498
1141874,78692,-12124,622418,-142469
1505617,-91338,-6737,461429,-142433
1443048,-58215,-4836,548095,-142381
803014,-11691,-17953,171819,-142241
1322202,126118,-6425,519560,-142166
940682,54730,-1809,590809,-142043
806707,60019,-8958,334770,-142025
936625,94461,-2440,653769,-141985
778855,92379,-5281,455820,-141700
1080677,159522,77,267912,-141622
955971,-144043,-677,389592,-141290
1080725,-105089,56,630860,-141199
1258157,70038,211,650186,-141056
1308786,-18800,-1959,587115,-140764
1585455,178427,-17093,502828,-140682
1662117,103404,-2355,629955,-140587
825636,33088,-14401,452221,-140520
905526,-34377,-16208,550779,-140507
909762,160621,-549,263251,-140450
