x_0,x_1,x_2,x_3,x_4,x_5,x_6,y
683512,486006,239497,-323362,-2494129,-2914930,282233,-1793062
-13405,-313399,257072,-285667,-2601339,-3573000,-2389691,-1765171
340671,-184509,-687213,-278587,-1402061,-5386517,-3514756,-1729923
434515,-757870,-72010,-239180,-2025031,-4006474,-869640,-1704447
540636,-282003,-29392,-227629,-1833769,-4375987,-1383430,-1695187
568061,-596168,-415633,-512955,-2096962,-3958899,-1248100,-1673341
483919,-1110450,-255079,-336406,-1780252,-3133590,-2486560,-1654417
548521,-634246,-497505,-278848,-2030506,-2533928,-918658,-1632911
665453,-1191318,-173149,-363553,-1665920,-4785312,-188969,-1625865
680636,-1208195,-655061,-233983,-1591561,-3039277,-1554744,-1598321
596289,240905,-541324,-620278,-2240908,-3987883,-502193,-1594806
528650,-339696,28728,-439800,-2176854,-3111325,-1551101,-1582301
635984,690879,-693505,-235463,-2199783,-1765874,477365,-1582100
562469,-470145,-572545,-485367,-1572388,-4331609,-3155288,-1573345
718966,-333260,-419611,-322610,-1959650,-2222614,-847712,-1566083
492065,-163714,-8286,-502850,-2125375,-3803280,217767,-1558536
466405,1326047,-95841,-459501,-2425447,-3459774,-2281398,-1549096
684899,219081,279816,-362147,-2191316,-2526862,-2026213,-1535005
718674,88027,-754898,-382135,-963360,-6052472,-1753841,-1529423
-75036,-938786,-746934,-251712,-2154995,-3406446,-244388,-1525550
246330,-238903,-284972,-396798,-2002698,-4416947,397887,-1522526
719863,-139913,-777616,-229869,-1125697,-3673361,-3341336,-1519373
553548,-381799,-756576,-278744,-1110268,-4639430,-618236,-1517569
703573,-530276,-534159,-330468,-2090778,-2023289,1531559,-1516082
637025,-664118,-480039,-443324,-1822192,-3012767,-904107,-1502346
411609,-174625,-229598,-453834,-2311351,-2702870,356991,-1486696
702635,378278,-608163,-236089,-1268050,-3669830,-1118268,-1484909
719209,959586,-583049,-230679,-1960919,-1608475,-3036242,-1480617
590776,311815,-499739,-343754,-1356134,-4643975,-1262227,-1464677
540747,23033,146017,-302000,-1490590,-3927651,-1365632,-1455893
693427,-431687,-558556,-291346,-555638,-6039294,-2794659,-1454742
414063,-229167,-95053,-422805,-1777358,-3360614,-2375229,-1454176
694054,876528,-681605,-230512,-2133478,-528973,-453253,-1452156
708593,-79593,-316250,-320512,-2003098,-704837,-4429074,-1451722
576906,-216555,-432601,-555848,-1832162,-4095812,454504,-1451109
375937,-1118595,57327,-339250,-1913879,-1613976,-3629868,-1445356
663187,-375809,-154065,-336012,-1829903,-1739532,-623338,-1438305
459641,-499156,-670257,-294067,-1394734,-3923327,-952565,-1436701
567792,-1149360,-500157,-217714,-1550887,-3881798,2444566,-1436056
642774,-469455,279757,-381253,-1570570,-4599236,-277530,-1434847
714634,1479864,15745,-358737,-2278521,-1387895,-3207748,-1428310
668583,-265709,-716421,-376962,-1679717,-3280850,558862,-1420381
554455,-280789,-706003,-379421,-1754497,-3285200,1392318,-1409987
624290,-157855,-482387,-313281,-1727368,-2271024,-2102131,-1409821
487391,-503116,-365545,-215602,-1510245,-3015249,-471677,-1405848
564124,61464,-760917,-268775,-1121595,-3722953,-2078190,-1405136
514013,-733826,-500029,-226369,-2060576,-1205328,-1397316,-1399362
595405,-378280,-484402,-486503,-1866199,-4027806,1985440,-1398140
699971,-163074,-381782,-498558,-1694332,-3996193,1855593,-1395571
276000,339538,-692534,-272065,-1651952,-3081482,-2486554,-1393591
713652,411880,-751,-466367,-1481877,-5108734,1248737,-1383530
334834,-662735,-782503,-373355,-1771607,-3433021,-212122,-1381458
584905,-1435697,-571670,-381499,-1286776,-3928605,-147851,-1367557
691935,588958,-451312,-243944,-1125411,-4210466,186676,-1361181
-73960,-576095,-551972,-365353,-2023497,-3310104,-2822675,-1356306
565641,147405,106253,-592058,-2378472,-1974253,-1775040,-1355693
719266,-298359,-698745,-253315,-1849734,200607,-2971415,-1353810
693770,338608,-716312,-554213,-1344773,-5448010,-1030535,-1349831
189804,39796,-310297,-631298,-2127044,-4185047,-213505,-1348952
467755,-850079,-686913,-525283,-1430291,-4403988,-735365,-1345734
681930,492103,-774280,-251867,-1082483,-4642087,-1200418,-1345568
707611,-476592,-326348,-279228,-1380098,-2779183,-2104689,-1332684
481944,-964854,-436597,-620475,-1956813,-2957532,-107605,-1332508
-102268,-554379,-617291,-506336,-2441205,-3170456,-151537,-1325856
529463,169237,-92021,-283393,-1599140,-3317305,1432611,-1324713
384890,-750494,-209790,-218215,-1618856,-2850890,-34026,-1324130
301178,837137,77513,-351331,-1748576,-3419392,-2213547,-1322828
614052,177330,-336416,-420811,-1090741,-5514769,-122701,-1318845
555303,811764,127517,-525625,-2272782,-3315809,971298,-1317923
62892,71511,279931,-369663,-2247776,-2947457,128652,-1317550
345415,-334489,-767472,-371067,-1637768,-3726253,-1918977,-1316495
210896,-745962,-674287,-623785,-2237440,-3258025,1237289,-1315270
238108,-862507,-269314,-434450,-2416091,-1855531,-1275575,-1313526
720630,-53545,301065,-538180,-2057076,-2978238,-10290,-1313173
-151641,220123,-757283,-220264,-2033483,-3603312,1997274,-1312576
694357,-682794,-93486,-320116,-1534428,-3064919,1461704,-1311222
