x_0,x_1,x_2,x_3,y
-2085669,385724,8782796,-198103,-6917251
-1481109,836929,8880129,-67605,-6599571
-2011467,799574,7160796,458791,-6599409
-2171652,468275,7541292,-175780,-6334254
-2084880,684935,7508313,-143385,-6305378
-2598510,162770,6257954,136307,-6241445
-1735889,546433,8178937,-278545,-6195657
-2739645,206005,5589805,202443,-6060846
-2982927,6801,6105067,-353670,-6050490
-2080257,544613,8156148,-804603,-6048067
-2310877,739046,6367975,8714,-6027192
-1790867,220645,8107350,-426499,-6010121
-3543705,635285,3208973,643807,-5979362
-2957825,138609,6991090,-1041103,-5948754
-2855874,-568547,4926163,518238,-5916297
-2546176,-90144,6428832,-229815,-5901900
-3608782,206403,5164877,-681994,-5877066
-1641061,487639,9512942,-1375453,-5869888
-947947,583677,7570406,591888,-5868520
-2795150,187929,4623501,537461,-5868068
-2217221,-16418,6303947,40567,-5764206
-3295636,950575,4787128,-458843,-5716401
-2288704,786958,6426639,-367295,-5713199
-1366673,999507,9211184,-1196070,-5701477
-1625822,610254,6171377,537803,-5695099
-2396590,-159974,5534490,289735,-5691893
-837779,-28641,8255460,215426,-5691884
-2123178,53907,8228696,-1201041,-5677657
-2032829,266159,5245707,737581,-5671329
-828152,404114,8396697,1351,-5656931
-2548891,-215138,5353573,197080,-5650036
-2817136,1074278,3618459,619069,-5579574
-2401273,614753,8061863,-1643478,-5575931
-3031072,99319,6415989,-1183546,-5556014
-2043376,-4597,5992992,183595,-5551212
-1384702,476667,6499673,447635,-5531935
-1995717,292674,6445580,-163541,-5514009
-1496925,705152,6301913,357266,-5501979
-3128577,561590,3502439,381648,-5490069
-2292598,717306,6233939,-520204,-5456677
-1615130,180467,7159969,-279608,-5421423
-1992192,465603,6480550,-333851,-5414991
-1409055,532355,6423506,296834,-5394918
-1915953,836899,6506595,-432747,-5346694
-1298952,-652044,7053064,232944,-5333338
-2189156,117901,5244888,189692,-5311115
-2318811,278300,4607918,423903,-5309805
-1333637,686305,7976473,-743734,-5303599
-2046225,295323,6254799,-339382,-5298355
