x_0,x_1,x_2,x_3,x_4,x_5,x_6,y
2454498,-465504,64652,-379465,1293036,-830207,-2135211,212838
2476768,-583869,51255,-395913,1648116,-1019124,-2166789,225762
2537469,-484470,30148,-367242,1378448,-836421,-2183878,229416
2461976,-554008,28568,-368923,1581509,-952083,-2130736,230523
2491167,-425216,-12876,-325186,1244524,-704874,-2110848,230812
2527785,-514308,57412,-333832,1440954,-906825,-2145504,230932
2566783,-457047,48030,-267214,1283159,-803640,-2111250,231703
2464083,-619534,17002,-349117,1781735,-1053581,-2113676,231974
2564292,-420381,43771,-264707,1180577,-738868,-2107091,232916
2632974,-492816,63309,-266238,1373428,-875100,-2158310,232925
2625364,-508327,-37724,-210326,1507453,-826042,-2100321,233144
2437763,-690203,64847,-494760,1944518,-1207893,-2231284,233286
2663778,-455846,38162,-198824,1288374,-794286,-2117369,233675
2650457,-425898,25613,-331931,1212580,-734636,-2232635,233896
2619957,-649641,63673,-238678,1827919,-1138868,-2123009,235185
2539213,-550354,4131,-336766,1592448,-927775,-2156541,235551
2666481,-435866,61381,-239839,1209967,-777979,-2157822,235689
2579486,-493084,35747,-329580,1398495,-855057,-2178987,236525
2580457,-591955,59754,-298609,1664076,-1039029,-2150625,236666
2602985,-486853,37116,-417723,1379217,-845605,-2278743,236872
2619037,-586624,71461,-233192,1638296,-1038776,-2117195,237537
2811225,-411514,41045,-239824,1157264,-721942,-2262722,237820
2772325,-445064,38351,-239043,1256937,-776310,-2233792,238164
2829455,-429686,56187,-218925,1196621,-763733,-2256321,238484
2717348,-449499,68952,-209264,1242832,-806514,-2165997,238814
2654889,-466523,62524,-270160,1297867,-830338,-2177875,239363
2592687,-516526,77965,-306205,1429272,-925833,-2166619,239485
2751340,-425927,75672,-293025,1168545,-771904,-2269244,239672
2789562,-444741,46702,-288380,1248642,-781977,-2292589,239754
2660387,-596901,59486,-247487,1678657,-1047141,-2160582,240512
2630591,-477781,-243,-236372,1385833,-802586,-2128554,240565
2631210,-658556,47816,-201829,1867747,-1142056,-2096583,241227
2550680,-546529,-21311,-303373,1603778,-902432,-2133513,241663
2641411,-414730,16940,-210254,1187835,-709423,-2111885,241908
2641746,-581841,54806,-248418,1639104,-1018357,-2147944,241985
2699714,-463357,45258,-157875,1303903,-812182,-2104986,242060
2560288,-461414,3667,-256074,1334922,-777994,-2096087,242069
2663782,-551681,3981,-205349,1596431,-929895,-2123496,242085
2721235,-466367,35286,-202951,1321420,-809824,-2162889,242549
2715904,-460171,49939,-374315,1290538,-810309,-2319851,242606
2653351,-528907,50051,-289945,1489781,-925882,-2195329,242919
2667521,-443945,13105,-189586,1275943,-755660,-2111412,243072
2508394,-572182,-2751,-304837,1661818,-959334,-2104237,243677
2672014,-421186,-12610,-199059,1232600,-698300,-2123560,243746
2742558,-447041,37806,-130906,1263151,-779226,-2110730,243814
2759090,-411851,30802,-110331,1167269,-714894,-2103403,244569
2868478,-409745,69292,-346421,1127239,-739972,-2404262,245035
2736838,-510731,66783,-321654,1422322,-907783,-2285601,245101
2793746,-410989,17339,-146432,1176634,-703435,-2162404,245250
2648741,-580901,41451,-284182,1648149,-1006848,-2186579,245511
2526292,-620247,72352,-285322,1735023,-1095933,-2098894,245514
2642513,-678852,44039,-271022,1929936,-1173349,-2169714,245596
2780208,-404582,14340,-149595,1160698,-690440,-2155560,246066
2702321,-446780,40474,-180968,1260045,-780772,-2128549,246139
2690560,-428962,40692,-164923,1208177,-750996,-2104966,246171
2841785,-445289,62673,-158647,1236154,-794772,-2208688,246175
2643818,-427754,42141,-305703,1203397,-750044,-2203208,246337
2795838,-539013,62723,-89875,1507922,-952285,-2110841,246410
2584068,-442479,-38855,-248142,1317485,-714564,-2105878,246510
2675552,-559303,-16468,-177348,1636556,-927496,-2105748,246578
2575239,-453306,-28043,-328575,1339355,-740795,-2174966,246735
2788078,-470140,78381,-185274,1294382,-848206,-2194749,246747
2686150,-491087,-20371,-202624,1442163,-809978,-2137152,246818
2690284,-471043,24777,-250832,1344243,-809868,-2185392,246847
2804045,-418736,-14048,-172217,1226763,-693115,-2194068,246872
2622496,-503075,-27946,-283078,1483606,-824488,-2166520,246876
2727391,-568368,49668,-285926,1604560,-991900,-2245223,246970
2840578,-434609,77500,-149299,1192115,-787851,-2199040,247036
2600087,-607217,-10499,-329442,1770251,-1012439,-2193790,247123
2837487,-443886,50081,-114181,1243183,-783052,-2163840,247235
2731105,-567899,65899,-241146,1588896,-1003180,-2205889,247291
2570207,-539190,-43847,-260827,1602356,-873346,-2107737,247338
2723118,-474739,14541,-230034,1363983,-808468,-2189671,247556
2763511,-510612,67792,-235598,1421086,-908332,-2224171,247916
2713264,-587552,24892,-196196,1682031,-1005712,-2150772,247997
2902825,-430255,52309,-110155,1201689,-761806,-2207420,248057
2648931,-534940,63728,-222386,1495224,-946188,-2128721,248240
2624570,-519926,-32357,-252235,1536362,-849522,-2139076,248300
2810830,-503345,58079,-225106,1408573,-888902,-2248622,248398
2716034,-412002,-14086,-153268,1207266,-681772,-2112491,248473
2744354,-572766,73966,-205000,1595901,-1017355,-2181569,248549
2786495,-575604,78150,-253059,1600443,-1025234,-2257218,248736
2695095,-509917,13615,-177566,1466821,-866885,-2120118,248894
2572575,-668149,25403,-271204,1915321,-1141510,-2119191,248914
2599798,-600498,14561,-230475,1728679,-1019782,-2100699,248951
2786339,-560351,78448,-219270,1555945,-999827,-2225394,249021
2598744,-652261,-24470,-257769,1913197,-1077734,-2125552,249040
2977676,-421307,53329,-283680,1174838,-747529,-2424527,249041
2749949,-442716,-224,-181953,1284125,-743685,-2163995,249295
2836443,-421213,-26151,-104087,1244615,-688279,-2153611,249502
2726022,-512052,14113,-182880,1472572,-870843,-2147523,249570
2674069,-558922,-30835,-173309,1648113,-916174,-2100883,249617
2548673,-640185,65044,-268543,1799287,-1123999,-2099369,249757
2710416,-451824,36152,-301164,1278481,-786033,-2247220,249812
2734611,-567977,72501,-159795,1583303,-1008219,-2132082,249910
2772569,-479506,49631,-170231,1346882,-842567,-2169390,249972
2747772,-534016,18438,-263188,1532459,-910962,-2238656,249990
2785287,-415554,36656,-195111,1172850,-725468,-2201957,249991
2573449,-648702,-24926,-312363,1903279,-1071417,-2158454,250184
2677772,-493381,-31703,-174404,1458801,-805406,-2104594,250210
2793379,-441470,5938,-83343,1275081,-746172,-2102929,250244
2722097,-409017,20831,-226492,1167837,-702717,-2185607,250344
2695101,-562680,58530,-198737,1580254,-988932,-2139992,250352
2688436,-495474,2025,-162530,1435148,-834001,-2101181,250413
2860865,-455520,61241,-138016,1267087,-810897,-2203155,250498
2791948,-455959,47039,-173920,1280877,-801076,-2186897,250503
2695682,-552525,-21695,-155800,1621507,-912222,-2100117,250611
2696394,-673618,58090,-221824,1902373,-1175001,-2162596,250688
2724507,-634623,69353,-270361,1779357,-1117857,-2228525,250760
2814645,-448702,25256,-134359,1279029,-772687,-2166222,250878
2745654,-516167,-40230,-317614,1532398,-837351,-2288201,250899
2824425,-614721,73735,-144421,1717779,-1087676,-2182754,251079
2916129,-433618,75397,-123593,1191093,-784622,-2229676,251095
2786124,-468365,38402,-160408,1324468,-815499,-2169996,251281
2696914,-621899,49200,-178191,1760219,-1081495,-2122024,251307
2701222,-544082,29580,-196118,1551829,-936158,-2141971,251353
2707141,-574695,51522,-330189,1621275,-1003909,-2272086,251460
2760935,-504989,27573,-217975,1440225,-868981,-2205765,251477
2863523,-433169,22062,-212267,1236797,-744214,-2274766,251481
2855672,-446953,36631,-302027,1263932,-778206,-2353315,251574
2588223,-661246,60237,-234631,1864603,-1155812,-2096210,251693
2827360,-465544,5248,-179052,1345506,-786108,-2217382,251804
2715999,-510138,7498,-161646,1472851,-862709,-2120329,251976
2682959,-491025,-26115,-200064,1447044,-805603,-2132436,251988
2996644,-488269,58396,-111461,1364570,-863806,-2276649,252025
2702064,-426906,-45581,-191076,1278249,-683398,-2137848,252092
